35100,222,142080
35200,221,141440
35300,220,140800
35400,220,140800
35500,219,140160
35600,218,139520
35700,218,139520
35800,217,138880
35900,216,138240
36000,215,137600
36100,215,137600
36200,214,136960
36300,213,136320
36400,212,135680
36500,212,135680
36600,211,135040
36700,210,134400
36800,210,134400
36900,209,133760
37000,208,133120
37100,207,132480
37200,207,132480
37300,206,131840
37400,205,131200
37500,204,130560
37600,204,130560
37700,203,129920
37800,202,129280
37900,201,128640
38000,201,128640
38100,200,128000
38200,199,127360
38300,199,127360
38400,198,126720
38500,197,126080
38600,196,125440
38700,196,125440
38800,195,124800
38900,194,124160
39000,193,123520
39100,193,123520
39200,192,122880
39300,191,122240
39400,191,122240
39500,190,121600
39600,189,120960
39700,188,120320
39800,188,120320
39900,187,119680
40000,186,119040
40100,185,118400
40200,185,118400
40300,184,117760
40400,183,117120
40500,182,116480
40600,182,116480
40700,181,115840
40800,180,115200
40900,180,115200
41000,179,114560
41100,178,113920
41200,177,113280
41300,177,113280
41400,176,112640
41500,175,112000
41600,174,111360
41700,174,111360
41800,173,110720
41900,172,110080
42000,172,110080
42100,171,109440
42200,170,108800
42300,169,108160
42400,169,108160
42500,168,107520
42600,167,106880
42700,166,106240
42800,166,106240
42900,165,105600
43000,164,104960
43100,163,104320
43200,163,104320
43300,162,103680
43400,161,103040
43500,161,103040
43600,160,102400
43700,159,101760
43800,158,101120
43900,158,101120
44000,157,100480
44100,156,99840
44200,155,99200
44300,155,99200
44400,154,98560
44500,153,97920
44600,153,97920
44700,152,97280
44800,151,96640
44900,150,96000
45000,150,96000
45100,149,95360
45200,148,94720
45300,147,94080
45400,147,94080
45500,146,93440
45600,145,92800
45700,144,92160
45800,144,92160
45900,143,91520
46000,142,90880
46100,142,90880
46200,141,90240
46300,140,89600
46400,139,88960
46500,139,88960
46600,138,88320
46700,137,87680
46800,136,87040
46900,136,87040
47000,135,86400
47100,134,85760
47200,134,85760
47300,133,85120
47400,132,84480
47500,131,83840
47600,131,83840
47700,130,83200
47800,129,82560
47900,128,81920
48000,128,81920
48100,127,81280
48200,126,80640
48300,125,80000
48400,125,80000
48500,124,79360
48600,123,78720
48700,123,78720
48800,122,78080
48900,121,77440
49000,120,76800
49100,120,76800
49200,119,76160
49300,118,75520
49400,117,74880
49500,117,74880
49600,116,74240
49700,115,73600
49800,115,73600
49900,114,72960
50000,113,72320
50100,112,71680
50200,112,71680
50300,111,71040
50400,110,70400
50500,109,69760
50600,109,69760
50700,108,69120
50800,107,68480
50900,106,67840
51000,106,67840
51100,105,67200
51200,104,66560
51300,104,66560
51400,103,65920
51500,102,65280
51600,101,64640
51700,101,64640
51800,100,64000
51900,99,63360
52000,98,62720
52100,98,62720
52200,97,62080
52300,96,61440
52400,96,61440
52500,95,60800
52600,94,60160
52700,93,59520
52800,93,59520
52900,92,58880
53000,91,58240
53100,90,57600
53200,90,57600
53300,89,56960
53400,88,56320
53500,87,55680
53600,87,55680
53700,86,55040
53800,85,54400
53900,85,54400
54000,84,53760
54100,83,53120
54200,82,52480
54300,82,52480
54400,81,51840
54500,80,51200
54600,79,50560
54700,79,50560
54800,78,49920
54900,77,49280
55000,76,48640
55100,76,48640
55200,75,48000
55300,74,47360
55400,74,47360
55500,73,46720
55600,72,46080
55700,71,45440
55800,71,45440
55900,70,44800
56000,69,44160
56100,68,43520
56200,68,43520
56300,67,42880
56400,66,42240
56500,66,42240
56600,65,41600
56700,64,40960
56800,63,40320
56900,63,40320
57000,62,39680
57100,61,39040
57200,60,38400
57300,60,38400
57400,59,37760
57500,58,37120
57600,57,36480
57700,57,36480
57800,56,35840
57900,55,35200
58000,55,35200
58100,54,34560
58200,53,33920
58300,52,33280
58400,52,33280
58500,51,32640
58600,50,32000
58700,49,31360
58800,49,31360
58900,48,30720
59000,47,30080
59100,47,30080
59200,46,29440
59300,45,28800
59400,44,28160
59500,44,28160
59600,43,27520
59700,42,26880
59800,41,26240
59900,41,26240
60000,40,25600
60100,39,24960
60200,38,24320
60300,38,24320
60400,37,23680
60500,36,23040
60600,36,23040
60700,35,22400
60800,34,21760
60900,33,21120
61000,33,21120
61100,32,20480
61200,31,19840
61300,30,19200
61400,30,19200
61500,29,18560
61600,28,17920
61700,28,17920
61800,27,17280
61900,26,16640
62000,25,16000
62100,25,16000
62200,24,15360
62300,23,14720
62400,22,14080
62500,22,14080
62600,21,13440
62700,20,12800
62800,19,12160
62900,19,12160
63000,18,11520
63100,17,10880
63200,17,10880
63300,16,10240
63400,15,9600
63500,14,8960
63600,14,8960
63700,13,8320
63800,12,7680
63900,11,7040
64000,11,7040
64100,10,6400
64200,9,5760
64300,9,5760
64400,8,5120
64500,7,4480
64600,6,3840
64700,6,3840
64800,5,3200
64900,4,2560
65000,3,1920
65100,3,1920
65200,2,1280
65300,1,640
65400,0,0
65500,0,0
